,long,lat
0,18.45047908,-33.92159909
1,18.45967817,-33.92114972
2,18.57499857,-33.96889841
3,18.58760269,-33.88460567
4,18.45935498,-33.92117291
5,18.85353829,-34.1027165
6,18.93713054,-34.1323422
7,18.47321724,-33.94451389
8,18.47821013,-33.92156649
9,18.76468028,-34.05329116
10,18.46590833,-33.94554309
11,18.43124084,-33.91766135
12,18.45067852,-33.94030439
13,18.54837676,-33.89104011
14,18.59540631,-33.88618941
15,18.52480919,-33.95040072
16,18.65745799,-33.95464206
17,18.83960484,-34.08939353
18,18.45422454,-33.93746952
19,18.47689251,-33.94398678
20,18.48014,-33.9317766
21,18.62079899,-33.88873333
22,18.82796921,-34.08310326
23,18.95104488,-34.15178254
24,18.45133207,-33.93622003
25,18.49696193,-33.95114477
26,18.59060408,-33.88456045
27,18.48355424,-33.94383961
28,18.53146806,-33.88561703
29,18.67531032,-33.88805282
30,18.47998429,-33.93058265
31,18.67199082,-33.87645498
32,18.6564094,-33.87806883
33,18.49201016,-33.9151885
34,18.63406,-33.88741
35,18.89916905,-33.79307658
36,18.42979253,-33.91669663
37,18.51488881,-33.95012034
38,18.45704097,-33.92113041
39,18.5403022,-33.88795921
40,18.43813604,-33.93114165
41,18.92874615,-34.15027142
42,18.66891643,-33.87188992
43,18.85353868,-34.10254141
44,18.93382073,-34.15004461
45,18.83626967,-34.08623459
46,18.54761704,-33.95741511
47,18.53152184,-33.88613963
48,18.74218467,-34.04365964
49,18.48919334,-33.94784699
50,18.9339115,-34.15006602
51,18.4485363,-33.92175
52,18.48672024,-33.91679174
53,18.44992377,-33.92168625
54,18.46705145,-33.94920727
55,18.67633167,-33.89032126
56,18.53184825,-33.88544424
57,18.54752073,-33.95738713
